Sequence_ID	sample_name
ASV_108978	Field_19_D1
ASV_108981	+ASW-SO4_4_D1
ASV_108987	Control_4_D1
ASV_108988	Field_10_D2
ASV_108993	Field_10_D1
ASV_109001	Field_19_D1
ASV_109007	Field_10_D1
ASV_109008	+ASW_4_D1
ASV_109010	Field_10_D1
ASV_10902	Field_19_D1
ASV_109021	+ASW_3_D1
ASV_109023	+ASW-SO4_2_D1
ASV_109033	+ASW-SO4_1_D1
ASV_109041	Field_19_D1
ASV_109054	Field_10_D1
ASV_109057	Field_46_D1
ASV_109060	Field_10_D1
ASV_109065	Field_19_D1
ASV_109067	+ASW-SO4_1_D1
ASV_109070	Field_19_D1
ASV_109073	Field_43_D1
ASV_109074	Field_19_D1
ASV_109075	Control_3_D2
ASV_109079	+ASW_1_D2
ASV_109082	+ASW_3_D1
ASV_109085	Field_10_D1
ASV_109087	Field_10_D1
ASV_109091	Field_19_D2
ASV_109094	Field_19_D1
ASV_109095	Field_19_D2
ASV_109098	Control_1_D2
ASV_109105	+ASW_3_D1
ASV_109106	+ASW-SO4_3_D1
ASV_109123	Field_10_D2
ASV_109135	Field_10_D1
ASV_109137	Field_10_D2
ASV_109139	Field_36_D1
ASV_109142	+ASW-SO4_1_D1
ASV_109143	Field_10_D1
ASV_109147	+ASW_1_D2
ASV_10915	Field_10_D1
ASV_109151	Field_46_D1
ASV_109163	Field_46_D1
ASV_10917	Field_19_D1
ASV_109172	+ASW_3_D1
ASV_109177	Field_19_D1
ASV_109179	Field_10_D1
ASV_10918	Field_10_D1
ASV_109182	Field_36_D2
ASV_109185	Field_10_D1
ASV_109187	+SO4_5B_D2
ASV_10919	Field_19_D1
ASV_109190	+ASW_3_D1
ASV_109192	Field_19_D1
ASV_109197	+ASW_4_D1
ASV_10920	+ASW-SO4_5_D1
ASV_109204	Field_19_D1
ASV_109207	Field_10_D2
ASV_10921	Field_10_D1
ASV_109215	+ASW_3_D2
ASV_109216	Control_2_D1
ASV_109217	Field_36_D1
ASV_109218	Field_43_D1
ASV_109224	Field_10_D1
ASV_109227	Field_19_D1
ASV_109229	Field_36_D1
ASV_109230	Field_10_D1
ASV_109232	Control_3_D2
ASV_109233	Field_19_D1
ASV_109246	Field_10_D1
ASV_109263	Field_46_D1
ASV_109267	Field_19_D1
ASV_109268	+SO4_5B_D2
ASV_109281	+ASW_1_D2
ASV_109288	+SO4_5A_D1
ASV_109297	+ASW_3_D1
ASV_109299	Field_19_D1
ASV_1093	Field_10_D1
ASV_10930	Field_10_D1
ASV_109301	Field_10_D1
ASV_109310	Field_19_D2
ASV_109311	+SO4_4_D1
ASV_109312	Field_10_D1
ASV_10932	Field_19_D1
ASV_109324	+ASW-SO4_1_D1
ASV_109325	Field_10_D1
ASV_109327	Field_43_D2
ASV_109329	Field_36_D2
ASV_10933	+ASW_5_D1
ASV_109333	Field_36_D1
ASV_109343	+ASW_5_D1
ASV_109345	+ASW_4_D1
ASV_109347	Field_36_D1
ASV_10935	Field_10_D1
ASV_109354	+SO4_3_D1
ASV_109355	Field_10_D1
ASV_109367	+ASW-SO4_4_D1
ASV_109376	+ASW-SO4_5_D2
ASV_109383	Control_3_D1
ASV_109384	Field_43_D2
ASV_109385	+ASW-SO4_2_D1
ASV_109388	Field_36_D1
ASV_109391	Control_1_D2
ASV_109396	Field_10_D2
ASV_109399	Field_46_D1
ASV_109400	+ASW-SO4_4_D1
ASV_109405	Field_10_D1
ASV_109407	Field_43_D1
ASV_109417	+ASW_5_D1
ASV_109420	Field_10_D1
ASV_109422	Control_3_D1
ASV_109425	Field_10_D1
ASV_109428	+ASW-SO4_3_D1
ASV_109430	Control_3_D1
ASV_109438	Field_36_D1
ASV_109447	Field_10_D1
ASV_109452	+ASW-SO4_1_D1
ASV_109456	Field_19_D2
ASV_109457	Field_10_D1
ASV_109458	Field_10_D1
ASV_109460	+ASW_4_D1
ASV_10948	Field_10_D1
ASV_10949	Field_10_D1
ASV_109503	Field_19_D2
ASV_10965	Field_36_D1
ASV_10966	Field_10_D1
ASV_1098	Field_10_D1
ASV_10981	Field_19_D1
ASV_10982	Field_10_D1
ASV_10984	+ASW_3_D1
ASV_1099	Field_10_D1
ASV_11	Field_10_D1
ASV_11003	Field_19_D1
ASV_11005	Field_10_D1
ASV_11006	Field_10_D1
ASV_11007	Field_36_D1
ASV_11008	Field_10_D1
ASV_11009	Field_10_D1
ASV_11025	Field_10_D1
ASV_1104	Field_10_D1
ASV_11041	Field_19_D1
ASV_11060	Field_10_D1
ASV_11061	Field_10_D1
ASV_1107	Field_46_D1
ASV_11078	Field_10_D1
ASV_11079	+ASW_1_D2
ASV_1108	Field_10_D1
ASV_11080	Field_10_D1
ASV_11081	Field_19_D1
ASV_11083	Field_10_D1
ASV_111	Field_10_D1
ASV_11107	Field_10_D1
ASV_1111	Field_10_D1
ASV_11110	Field_10_D1
ASV_11111	Field_10_D1
ASV_11135	Field_10_D1
ASV_11138	Field_10_D1
ASV_11139	Field_10_D1
ASV_1115	Field_10_D1
ASV_11159	Field_36_D1
ASV_11160	Field_10_D1
ASV_11180	Field_10_D1
ASV_11181	Field_10_D1
ASV_11182	Field_10_D1
ASV_11183	Field_10_D1
ASV_11184	Field_19_D1
ASV_11185	Field_10_D1
ASV_11186	+ASW_3_D1
ASV_11188	Field_10_D1
ASV_11189	Field_43_D1
ASV_11191	Field_10_D1
ASV_112	Field_10_D1
ASV_11200	Field_19_D1
ASV_11203	Field_10_D1
ASV_11204	Field_10_D1
ASV_1121	Field_19_D1
ASV_11217	Field_10_D1
ASV_11218	Field_10_D1
ASV_11219	Field_19_D1
ASV_11221	Field_10_D1
ASV_11223	+ASW_3_D1
ASV_11224	Field_10_D1
ASV_11244	Field_10_D1
ASV_11246	Field_10_D1
ASV_11247	Field_10_D1
ASV_11250	Field_10_D1
ASV_11263	Field_10_D1
ASV_11265	Field_10_D1
ASV_11266	Field_10_D1
